food_id,food_name,cuisine_type,region,country,diet_type,meal_type,serving_size_g,calories,protein_g,fat_g,carbs_g,fiber_g,sugar_g,sodium_mg,cholesterol_mg,suitable_breakfast,suitable_lunch,suitable_dinner,suitable_snack,spring,summer,fall,winter,allergens
34,Lamb Souvlaki,Greek,European,Greece,Non-Vegetarian,Beverage,100,369.3,29.8,23.3,26.1,2.2,2.9,1028.0,127.0,0,1,1,1,1,0,0,0,"['Dairy', 'None', 'Soy']"
35,Vegetable Moussaka,Greek,European,Greece,Vegetarian,Dessert,100,460.1,9.2,20.2,42.6,4.0,31.2,591.0,32.0,0,1,1,0,1,1,1,0,"['Soy', 'Shellfish', 'None']"
36,Ratatouille,French,European,France,Vegan,Snack,100,304.7,5.4,8.0,18.8,8.2,1.4,426.0,22.0,0,0,1,1,1,1,1,0,"['Eggs', 'Gluten']"
37,Banh Xeo,Vietnamese,Asian,Vietnam,Non-Vegetarian,Lunch,100,221.6,26.8,8.7,6.1,4.9,3.6,414.0,93.0,0,0,1,1,1,1,1,1,"['Soy', 'Eggs']"
38,Champignons à la Grecque,French,European,France,Vegetarian,Lunch,100,292.5,5.6,13.6,13.4,2.4,8.4,478.0,25.0,0,0,1,0,0,1,1,1,"['Nuts', 'Eggs']"
39,Vegetable Soup,French,European,France,Vegan,Beverage,100,267.0,11.8,10.3,27.9,10.2,4.0,407.0,3.0,0,1,1,0,1,1,0,0,['Soy']
40,Lentil Soup,Lebanese,Middle Eastern,Lebanon,Vegetarian,Snack,100,106.3,14.6,17.2,37.8,5.3,3.4,210.0,10.0,0,1,0,1,1,1,1,1,"['Nuts', 'Eggs']"
41,Gyudon,Japanese,Asian,Japan,Non-Vegetarian,Dinner,100,287.3,29.3,22.5,13.4,5.7,7.4,799.0,103.0,0,1,1,0,1,1,0,1,[]
42,Chile Relleno with Cheese,Mexican,Latin American,Mexico,Vegetarian,Breakfast,100,304.9,8.7,12.1,42.7,1.1,4.1,132.0,2.0,1,1,0,0,1,1,1,1,[]
43,Vegetable Pot Pie,American,North American,United States,Vegetarian,Dinner,100,313.9,11.4,11.1,13.9,5.9,7.6,221.0,17.0,0,0,1,0,1,0,1,1,['Gluten']
44,Canh Chua Ca,Vietnamese,Asian,Vietnam,Non-Vegetarian,Beverage,100,249.6,27.3,22.0,6.4,2.2,6.3,753.0,133.0,0,0,1,1,1,1,1,1,[]
45,Rillettes de Porc,French,European,France,Non-Vegetarian,Breakfast,100,364.7,7.4,6.4,39.3,1.2,12.5,1146.0,99.0,1,0,0,0,1,0,0,1,"['Eggs', 'None', 'Soy']"
46,Tempura,Japanese,Asian,Japan,Non-Vegetarian,Lunch,100,247.0,27.9,18.1,21.4,5.6,3.9,1165.0,139.0,0,1,1,0,1,1,1,1,"['Dairy', 'Nuts', 'Shellfish']"
47,Hor Mok Pla,Thai,Asian,Thailand,Non-Vegetarian,Dessert,100,258.7,1.6,12.0,25.6,0.5,32.1,364.0,68.0,0,1,1,1,1,1,1,1,"['Shellfish', 'None', 'Eggs']"
48,Horiatiki,Greek,European,Greece,Vegetarian,Breakfast,100,411.2,5.3,21.3,28.5,1.8,14.5,540.0,35.0,1,0,0,0,1,1,1,1,"['Nuts', 'Shellfish']"
49,Taramasalata,Greek,European,Greece,Non-Vegetarian,Dinner,100,333.8,31.1,14.2,10.3,4.5,8.1,1191.0,80.0,0,1,1,0,0,1,1,1,"['Shellfish', 'Soy']"
50,Buffalo Cauliflower,American,North American,United States,Vegan,Dessert,100,311.6,8.0,16.8,57.6,4.3,25.7,626.0,30.0,0,0,1,0,1,1,1,1,[]
51,Samkeh Harra,Lebanese,Middle Eastern,Lebanon,Non-Vegetarian,Beverage,100,175.8,33.1,19.1,29.8,1.9,9.0,650.0,31.0,0,0,1,1,1,1,1,0,"['None', 'Eggs']"
52,Funghi Trifolati,Italian,European,Italy,Vegetarian,Snack,100,326.3,4.1,8.4,48.0,9.6,9.0,542.0,18.0,1,0,1,1,1,1,0,1,"['Soy', 'None', 'Shellfish']"
53,Guacamole,Mexican,Latin American,Mexico,Vegan,Snack,100,167.4,5.3,12.8,45.1,10.1,9.7,164.0,20.0,0,1,0,1,1,1,0,1,['Shellfish']
54,Beef Fajitas,Mexican,Latin American,Mexico,Non-Vegetarian,Beverage,100,164.4,26.0,17.7,31.6,2.1,1.2,429.0,121.0,1,1,1,1,1,1,1,1,"['Shellfish', 'Eggs']"
55,Vegetable Risotto,Italian,European,Italy,Vegan,Lunch,100,242.2,3.0,3.3,43.0,3.7,10.0,594.0,3.0,0,1,1,0,1,1,1,0,['Gluten']
56,Peas Pulao,Indian,Asian,India,Vegetarian,Dinner,100,121.2,14.8,9.4,24.8,8.5,14.3,790.0,30.0,0,1,1,1,1,1,0,1,"['Eggs', 'Gluten', 'Soy']"
57,Appam with Chicken Stew,Indian,Asian,India,Non-Vegetarian,Beverage,100,244.1,16.7,25.1,21.8,2.5,9.1,400.0,89.0,0,1,1,0,0,1,1,0,"['Soy', 'Gluten']"
58,Vegetable Sliders,American,North American,United States,Vegetarian,Snack,100,102.8,8.6,4.0,14.8,2.9,10.1,622.0,23.0,0,0,1,1,1,1,1,1,"['Nuts', 'Shellfish']"
59,Lasagne ai Quattro Formaggi,Italian,European,Italy,Vegetarian,Dinner,100,340.5,7.5,7.9,44.7,3.8,14.5,109.0,39.0,0,1,0,0,1,1,1,1,"['None', 'Soy', 'Gluten']"
60,Patatas Bravas,Spanish,European,Spain,Vegan,Snack,100,109.9,10.9,10.4,54.7,3.7,7.1,779.0,21.0,1,0,0,1,1,1,1,1,"['Eggs', 'Shellfish']"
61,Briam,Greek,European,Greece,Vegetarian,Breakfast,100,357.3,15.4,14.1,38.8,5.1,18.2,132.0,11.0,1,1,1,0,1,1,0,0,"['Gluten', 'Shellfish', 'Dairy']"
62,Vegetable Briam,Greek,European,Greece,Vegan,Dinner,100,318.6,10.9,9.3,39.8,5.5,3.1,425.0,14.0,0,1,1,0,1,1,1,1,['None']
63,Risotto alla Pescatora,Italian,European,Italy,Non-Vegetarian,Snack,100,295.9,16.6,29.4,34.6,4.2,5.4,579.0,128.0,0,0,0,1,1,1,0,1,['Eggs']
64,Sujuk,Lebanese,Middle Eastern,Lebanon,Non-Vegetarian,Dinner,100,321.2,18.3,28.0,29.7,5.7,7.3,852.0,80.0,0,1,1,0,1,1,1,1,"['Gluten', 'Nuts', 'Eggs']"
65,Bo Luc Lac,Vietnamese,Asian,Vietnam,Non-Vegetarian,Snack,100,383.2,32.3,9.0,5.8,2.3,8.1,1189.0,48.0,0,1,0,1,0,0,1,1,"['Gluten', 'Shellfish', 'Dairy']"
66,Mushroom Bourguignon,French,European,France,Vegan,Lunch,100,236.7,5.8,17.5,48.7,10.5,6.2,390.0,11.0,0,0,1,0,1,1,0,0,"['Nuts', 'Shellfish', 'Eggs']"
67,Fattoush,Lebanese,Middle Eastern,Lebanon,Vegetarian,Dessert,100,216.9,8.8,26.3,60.0,5.0,28.9,638.0,38.0,1,1,1,1,1,0,1,0,[]
68,Vegetable Pastitsio,Greek,European,Greece,Vegetarian,Beverage,100,312.4,6.0,10.7,15.2,9.6,9.5,260.0,27.0,0,1,0,1,1,1,1,1,['Dairy']
69,Vegetable Wontons,Chinese,Asian,China,Vegetarian,Dessert,100,385.4,4.2,12.3,48.5,2.6,34.3,464.0,34.0,0,1,0,1,1,1,1,1,"['Nuts', 'Shellfish', 'Soy']"
70,Salt and Pepper Tofu,Chinese,Asian,China,Vegetarian,Snack,100,238.0,9.7,17.9,26.1,3.1,1.4,629.0,25.0,0,1,0,1,1,1,0,0,[]
71,Lengua Tacos,Mexican,Latin American,Mexico,Non-Vegetarian,Dessert,100,411.2,2.9,12.7,25.5,1.8,29.7,653.0,82.0,0,0,1,0,1,1,1,1,[]
72,Kimchi,Korean,Asian,South Korea,Vegan,Snack,100,308.0,5.5,10.2,46.3,6.6,7.8,704.0,38.0,0,1,0,1,1,1,0,0,['Shellfish']
73,Pasta Primavera,Italian,European,Italy,Vegan,Beverage,100,133.8,11.3,9.9,25.3,7.1,11.8,445.0,13.0,0,1,1,0,1,1,0,1,['None']
74,Lamb Fatayer,Lebanese,Middle Eastern,Lebanon,Non-Vegetarian,Dessert,100,390.0,3.2,11.5,29.5,0.6,18.8,425.0,107.0,0,0,1,0,1,0,1,1,[]
75,Stuffed Tomatoes,Greek,European,Greece,Vegetarian,Lunch,100,145.5,7.1,18.2,29.0,7.3,3.4,235.0,2.0,0,1,0,0,1,1,1,1,[]
76,Paidakia,Greek,European,Greece,Non-Vegetarian,Beverage,100,192.2,20.6,11.9,7.7,0.7,4.6,486.0,74.0,0,0,0,1,1,1,0,1,['Shellfish']
77,Minestrone,Italian,European,Italy,Vegan,Snack,100,215.8,8.9,2.6,47.0,8.7,1.9,712.0,37.0,0,1,1,1,0,1,1,1,"['Eggs', 'Nuts', 'Soy']"
78,Vegetable Bun Cha,Vietnamese,Asian,Vietnam,Vegetarian,Snack,100,115.3,6.3,16.7,39.9,3.5,3.9,359.0,19.0,0,0,0,1,1,1,1,1,"['Gluten', 'Shellfish']"
79,Som Tam,Thai,Asian,Thailand,Vegan,Beverage,100,242.2,5.7,9.4,44.9,3.3,3.8,599.0,36.0,1,1,0,0,1,1,1,0,[]
80,Mutton Rara,Indian,Asian,India,Non-Vegetarian,Lunch,100,277.9,25.6,10.4,18.4,3.2,2.4,542.0,75.0,0,1,0,0,1,0,1,1,[]
81,Vegetable Harumaki,Japanese,Asian,Japan,Vegetarian,Lunch,100,105.0,6.9,6.6,23.1,3.0,13.5,516.0,27.0,0,1,1,1,1,1,1,1,['Nuts']
82,Sabudana Khichdi,Indian,Asian,India,Vegetarian,Beverage,100,297.3,9.0,4.5,31.5,6.7,11.4,402.0,5.0,0,0,1,0,1,1,1,0,[]
83,Vegetable Banh Mi,Vietnamese,Asian,Vietnam,Vegan,Dessert,100,285.1,4.3,22.9,45.0,1.8,39.7,524.0,9.0,0,0,1,0,1,1,1,0,[]
84,Carpaccio di Salmone,Italian,European,Italy,Non-Vegetarian,Dessert,100,230.5,2.4,14.9,30.6,0.9,22.1,456.0,138.0,1,1,1,0,1,0,1,1,"['Gluten', 'Shellfish', 'None']"
85,Pisto,Spanish,European,Spain,Vegan,Dessert,100,224.1,5.7,18.2,59.4,0.6,24.9,779.0,35.0,0,0,1,0,1,1,1,1,"['Nuts', 'Dairy']"
86,Jamón Ibérico,Spanish,European,Spain,Non-Vegetarian,Breakfast,100,404.3,8.9,8.4,40.1,7.5,12.0,814.0,64.0,1,1,1,0,0,1,1,1,"['Shellfish', 'Gluten']"
87,Magret de Canard,French,European,France,Non-Vegetarian,Beverage,100,342.4,18.7,15.1,17.8,3.0,2.4,403.0,103.0,0,1,0,0,1,1,1,1,['None']
88,Spaghetti alla Carbonara,Italian,European,Italy,Non-Vegetarian,Dessert,100,286.6,6.2,13.1,41.8,2.7,16.3,603.0,46.0,1,1,1,0,1,1,1,1,[]
89,Vegetable Japchae,Korean,Asian,South Korea,Vegan,Beverage,100,114.6,11.9,7.2,47.4,5.3,8.5,632.0,24.0,1,1,0,0,1,1,1,0,[]
90,Buddha's Delight,Chinese,Asian,China,Vegan,Beverage,100,208.5,6.1,7.6,52.2,10.5,11.6,187.0,29.0,1,1,1,0,1,1,1,0,[]
91,Kadai Mushroom,Indian,Asian,India,Vegetarian,Lunch,100,334.6,5.2,4.1,39.6,6.6,12.8,198.0,32.0,0,1,1,0,1,1,1,0,[]
92,Pad Kee Mao,Thai,Asian,Thailand,Non-Vegetarian,Breakfast,100,250.4,7.5,8.3,44.4,5.7,11.4,623.0,135.0,1,0,0,0,1,0,1,1,['None']
93,Shrimp Fried Rice,Chinese,Asian,China,Non-Vegetarian,Dinner,100,248.1,31.3,17.7,16.3,2.8,3.0,973.0,90.0,1,1,1,1,1,1,1,1,"['Gluten', 'Eggs']"
94,Vegetable Pho,Vietnamese,Asian,Vietnam,Vegetarian,Snack,100,158.1,13.8,9.5,31.7,9.3,9.7,182.0,38.0,0,1,0,1,1,1,1,1,"['Dairy', 'Soy']"
95,Guanciale,Italian,European,Italy,Non-Vegetarian,Breakfast,100,356.9,10.0,7.8,43.8,5.3,11.6,1105.0,125.0,1,0,1,0,1,1,1,1,[]
96,Hummus,Lebanese,Middle Eastern,Lebanon,Vegan,Lunch,100,134.9,5.1,6.0,44.8,3.3,7.3,634.0,35.0,0,0,1,1,1,1,1,1,[]
97,Garlic Eggplant,Chinese,Asian,China,Vegan,Snack,100,178.7,10.2,3.8,48.9,4.1,5.4,658.0,6.0,0,0,0,1,1,1,1,0,"['Dairy', 'Eggs']"
98,Penne alla Vodka con Pancetta,Italian,European,Italy,Non-Vegetarian,Snack,100,207.3,29.4,23.8,24.2,4.2,5.4,527.0,71.0,0,0,0,1,1,1,1,1,[]
99,Vegetable Gimbap,Korean,Asian,South Korea,Vegan,Dessert,100,254.5,9.2,21.7,39.0,2.3,38.7,207.0,23.0,0,1,0,0,1,1,1,1,"['Soy', 'Dairy', 'Gluten']"
100,Gigantes Plaki,Greek,European,Greece,Vegetarian,Dinner,100,226.5,10.3,3.3,44.9,9.5,8.9,588.0,37.0,0,1,1,0,1,1,1,1,"['Eggs', 'None']"
101,Chicago Deep Dish Pizza,American,North American,United States,Non-Vegetarian,Beverage,100,326.8,18.1,20.7,23.2,2.5,7.4,1141.0,141.0,1,1,1,0,1,1,1,0,['Nuts']
102,Marinara Pasta,Italian,European,Italy,Vegan,Beverage,100,203.7,3.1,17.8,48.6,4.1,11.1,709.0,21.0,0,1,1,0,1,1,1,1,"['None', 'Dairy']"
103,Paella de Verduras,Spanish,European,Spain,Vegan,Beverage,100,236.0,6.0,2.9,28.4,10.2,1.1,333.0,16.0,0,1,1,0,1,1,0,1,['Dairy']
104,Vegetable Lo Mein,Chinese,Asian,China,Vegetarian,Dinner,100,234.3,14.0,8.9,23.9,7.9,7.3,257.0,18.0,0,1,1,0,1,1,1,1,['Dairy']
105,Vegetable Spring Rolls,Chinese,Asian,China,Vegan,Dessert,100,242.3,2.6,20.0,39.7,4.6,24.1,506.0,25.0,0,1,1,0,0,1,0,0,['Soy']
106,Cecina,Mexican,Latin American,Mexico,Non-Vegetarian,Snack,100,153.3,28.3,11.9,33.8,0.9,4.1,377.0,150.0,1,0,0,1,0,1,1,1,['None']
107,Black Bean Tacos,Mexican,Latin American,Mexico,Vegan,Lunch,100,215.5,8.0,3.1,45.0,4.9,10.9,244.0,8.0,1,1,1,0,1,1,1,1,['Nuts']
108,Soupe de Légumes,French,European,France,Vegetarian,Lunch,100,109.1,8.7,12.6,12.6,8.2,7.3,467.0,18.0,0,1,1,1,1,1,0,1,[]
109,Tofu Cashew Stir-Fry,Thai,Asian,Thailand,Vegetarian,Beverage,100,200.2,9.7,5.6,17.3,8.9,14.2,361.0,11.0,0,1,1,0,1,1,0,1,[]
110,Risotto alle Noci,Italian,European,Italy,Vegetarian,Dinner,100,261.0,7.9,3.4,16.2,7.7,10.2,119.0,9.0,0,1,1,0,1,1,1,1,"['Shellfish', 'Soy', 'Eggs']"
111,Calzone Vegetariano,Italian,European,Italy,Vegetarian,Snack,100,157.8,11.1,3.3,14.2,8.4,3.5,557.0,10.0,0,0,0,1,1,1,1,1,['Shellfish']
112,Berenjenas Fritas,Spanish,European,Spain,Vegetarian,Dessert,100,229.8,3.2,24.4,54.9,4.2,24.9,568.0,8.0,1,1,1,0,1,1,1,1,"['Nuts', 'Shellfish']"
113,Karimeen Pollichathu,Indian,Asian,India,Non-Vegetarian,Breakfast,100,273.3,18.4,5.3,22.6,2.5,2.5,463.0,100.0,1,0,1,0,1,1,1,1,['None']
114,Vegan Mac and Cheese,American,North American,United States,Vegan,Snack,100,196.9,10.9,15.1,28.7,5.3,5.2,513.0,11.0,0,1,1,1,0,1,1,0,[]
115,Pla Tod,Thai,Asian,Thailand,Non-Vegetarian,Dessert,100,387.2,4.7,21.0,40.3,1.5,38.7,987.0,47.0,0,1,1,0,1,1,1,0,"['Nuts', 'Gluten']"
116,Lobster Roll,American,North American,United States,Non-Vegetarian,Snack,100,367.1,24.7,27.7,29.0,2.6,0.2,542.0,95.0,0,0,0,1,1,1,0,1,[]
117,Bo Kho,Vietnamese,Asian,Vietnam,Non-Vegetarian,Breakfast,100,358.4,8.9,7.8,45.0,7.9,11.5,455.0,63.0,1,0,0,0,1,1,1,1,"['Dairy', 'Shellfish', 'Eggs']"
118,Hoy Maeng Poo Ob,Thai,Asian,Thailand,Non-Vegetarian,Breakfast,100,204.6,18.7,7.4,37.3,2.9,12.0,886.0,130.0,1,1,0,1,0,0,1,1,"['Soy', 'Shellfish']"
119,Champiñones al Ajillo,Spanish,European,Spain,Vegetarian,Breakfast,100,251.6,5.2,7.7,47.0,7.1,12.8,520.0,27.0,1,0,0,1,1,1,1,0,[]
120,Sigeumchi Namul,Korean,Asian,South Korea,Vegetarian,Beverage,100,143.8,14.0,10.1,25.3,6.2,1.7,216.0,30.0,0,1,0,0,1,1,1,1,[]
121,Dal Tadka,Indian,Asian,India,Vegan,Lunch,100,119.0,8.0,5.9,30.6,5.6,4.9,603.0,12.0,0,0,1,0,1,1,1,1,"['Dairy', 'Gluten', 'None']"
122,Calamari Ripieni,Italian,European,Italy,Non-Vegetarian,Lunch,100,291.6,24.5,22.6,33.1,4.4,2.1,328.0,61.0,0,1,0,0,1,1,1,1,"['None', 'Dairy']"
123,Fresh Spring Rolls,Vietnamese,Asian,Vietnam,Vegan,Beverage,100,236.9,2.5,9.9,38.9,6.0,9.5,175.0,3.0,0,1,1,1,1,1,1,1,"['Eggs', 'Soy']"
124,Piccione Ripieno,Italian,European,Italy,Non-Vegetarian,Snack,100,332.0,24.9,23.1,18.0,1.5,8.2,1019.0,113.0,0,0,0,1,0,1,1,1,"['Dairy', 'Soy']"
125,Vegetable Burger,American,North American,United States,Vegetarian,Snack,100,168.0,10.1,9.1,13.7,9.3,2.9,765.0,18.0,0,0,0,1,0,1,0,1,"['None', 'Gluten']"
126,Shojin Ryori,Japanese,Asian,Japan,Vegetarian,Beverage,100,146.3,9.5,17.8,39.3,8.5,10.2,585.0,34.0,1,1,1,1,1,1,1,1,"['None', 'Soy']"
127,Masala Dosa,Indian,Asian,India,Vegetarian,Breakfast,100,262.4,12.3,9.4,49.6,7.6,2.7,594.0,37.0,0,0,0,1,1,1,1,0,"['Shellfish', 'Nuts']"
128,Feta Me Meli,Greek,European,Greece,Vegetarian,Beverage,100,145.1,9.8,18.6,11.4,7.6,5.2,747.0,39.0,1,1,1,0,1,1,1,1,"['Shellfish', 'Nuts']"
129,Chestnut Soup,French,European,France,Vegetarian,Dinner,100,336.1,8.7,17.7,43.8,4.6,12.6,126.0,24.0,0,1,1,0,1,1,1,1,"['Dairy', 'None', 'Nuts']"
130,Vegetable Bibimbap,Korean,Asian,South Korea,Vegan,Dinner,100,152.9,3.2,3.2,42.9,6.1,9.0,146.0,13.0,0,1,1,0,1,1,0,1,['Dairy']
131,Japchae,Korean,Asian,South Korea,Non-Vegetarian,Breakfast,100,334.9,16.9,11.4,38.8,7.2,13.1,510.0,33.0,1,0,0,0,1,1,1,1,"['Shellfish', 'Nuts']"
132,Hot Dog,American,North American,United States,Non-Vegetarian,Dinner,100,367.5,15.4,27.2,20.9,5.6,8.0,1198.0,72.0,0,1,1,0,1,1,1,1,[]
133,Mushroom Congee,Chinese,Asian,China,Vegetarian,Snack,100,291.8,7.8,11.2,35.1,9.0,14.8,638.0,17.0,0,0,0,1,1,1,1,1,['Shellfish']
134,Pla Neung Manao,Thai,Asian,Thailand,Non-Vegetarian,Dessert,100,326.4,7.6,14.8,28.9,1.8,22.2,567.0,58.0,1,0,1,0,1,1,1,0,"['Soy', 'None']"
135,Lahm bi Ajeen,Lebanese,Middle Eastern,Lebanon,Non-Vegetarian,Beverage,100,160.5,15.4,29.7,17.8,2.3,6.8,496.0,144.0,1,0,1,0,0,1,1,1,[]
136,Yukgaejang,Korean,Asian,South Korea,Non-Vegetarian,Dinner,100,346.6,16.8,17.2,31.4,5.7,4.7,852.0,50.0,0,1,1,0,1,0,1,1,[]
137,Bean Chalupas,Mexican,Latin American,Mexico,Vegetarian,Snack,100,347.8,5.8,19.0,36.0,6.9,8.2,261.0,7.0,0,0,1,1,1,1,0,0,['Soy']
138,Vegetable Fajitas,Mexican,Latin American,Mexico,Vegan,Dinner,100,150.7,3.9,14.5,29.0,3.5,11.7,719.0,37.0,0,1,1,0,1,1,1,1,"['Soy', 'Eggs']"
139,Mushroom Tlayudas,Mexican,Latin American,Mexico,Vegetarian,Dinner,100,348.7,5.1,9.7,40.3,7.6,3.2,671.0,9.0,0,0,1,0,1,1,1,1,"['Nuts', 'Gluten']"
140,Poulet Rôti,French,European,France,Non-Vegetarian,Dinner,100,206.0,25.7,21.0,22.4,0.5,8.8,539.0,46.0,0,1,1,0,1,0,1,1,['Dairy']
141,Samak Mashwi,Lebanese,Middle Eastern,Lebanon,Non-Vegetarian,Dessert,100,466.6,9.6,27.2,53.3,3.3,28.8,378.0,79.0,1,1,0,1,1,0,1,1,[]
